CODE NAME,DESCRIPTION,EXAMPLE,
CopingMech_AdjustStimuliForFocus,"Adjusting stimulation someone uses in order to focus (e.g., using stim toys, games, music, etc.) or adjusting environment or using something to remove or block out things that might distract someone (either virtually or physically). This includes things like fidget spinners or noise cancelling headphones.","""I have a few songs that I listen to that 'get me in the groove'. In fact, I really think they help me hyperfocus. And when it works, it WORKS. Like a gaddam superpower.""",
CopingMech_BuiltTool,When someone built their own tool to assist with some coping mechanism.,"""I wrote a small and simple **program to take screenshots** of my two screens at a set interval, like every 10 or 15 minutes. It literally consisted of a start and stop button, so at the beginning of the day I would
hit start and stop when I'm finished working for the day or it's time for bed. I could identify what was on my screens at the time, even if it was an app, game, netflix, chat window, or whatever. There are plenty of downloadable options on the internet, but it really is very easy to write and I wrote my own so there'd be no safety concerns.""",
CopingMech_BetterFitJob,When someone is talking about choosing a job specifically to meet some of their needs (whether they would need to leave their current job or are not in the industry currently). ,"""I'm just thinking about leaving now. Which kind of sucks. I'm not willing to cancel and change my
plans for this job.""",
CopingMech_BodyDoubling,When someone uses the presence of someone else to encourage them to or help them do work. This can be in the form of coworking or generally being held accountable by another person.,"""I usually can find a coworker that I
talk to in order to ""bounce ideas off of"" (talking through problems with someone that can keep up is amazing)""",
CopingMech_ChooseProgrammingTool,"When someone chooses a programming tool (e.g., language, IDE, design pattern, etc.) because it ameliorates a specific work challenge or structures a programming task better. ","""I switched away from compile time languages for this reason. It killed me waiting for even small programs to compile. Python is just fantastic.
Go is also great for low compile time, if you want something a bit faster.
Rust seems like it has shorter compile times, but I've only run small programs on it so far.""",
CopingMech_Communication,"Communicating with others more, or in a different way, to finish a task, get information, improve relationships regarding work, ask for help, tell others what you need, etc.","""The other guy will push me through the validation process which I loathe, since I hate finishing projects and only complete them to 80% most of the time.""",
CopingMech_FTheSystem,"When someone does something in an unintended way or against the wishes of supervisors -- or the law -- to get around certain challenges (e.g., not working on the clock, cheating on interviews, getting medication from someone else without a prescriber, etc.). ","""If you're reasonably confident you're going to leave the current job, slacking off is a good risk vs reward.""",
CopingMech_Medication,"Taking prescribed substances with the explicit goal of improving work, or mention of medication affecting work.","""Within the first week of me taking the meds, I branched out, trying (successfully) to write an API in C# (I've been front-
end my entire career).""",
CopingMech_Medication_SelfRegulation,"Regulating usage of medication, often in the case of side effects, drug tests, or the perception of being better at a certain task without medication. ","""Never, I don’t ever mention it, and I stop taking the meds before the drug test. I can do the job just fine so it’s not necessary to risk it like that""",
CopingMech_Novelty,When someone specifically uses the novelty of a task or job to keep their interest or motivation going to complete it.,"""What does help *a lot* is novelty. Which is one of the bigger factors for me to switch careers into programming, because it seems like there is tons of novelty in the form of constantly learning. I'd love to be able to last a full year before burnout hits. Right now I'm like 3 months (shit call center jobs) before i crash.""",
CopingMech_Mindset,"Changing thinking or self-talk to help with work outcomes. (Includes lots of ""hand-wavey"" things.)","""I absolutely agree, when you're starting out use the excitement and the novelty of the job to get shit done, you will eventually get bored of it."" ""Use nervous energy to do it""",
CopingMech_Mixed,The opinion of a coping mechanism is mixed (has some positive and negative effects).,"""Maybe  you can spend some time in a conference room when its empty (but this makes you stand out. Not sure this is  a good idea.)""",
CopingMech_Other,Any other coping mechanism.,"""My approach to this issue is to manage my projects with Kanban boards Trello works
well for my purposes.""",
CopingMech_Practice,"When suggesting that the person practice the task more often, or do more research to learn about what to expect. [does NOT mention using energy or novelty of tasks, that would be mindset]","""Practice problems. Have a friend help you out.""",
CopingMech_Prioritize,When someone sets an order of doing things or stops in the face of diminishing returns to avoid getting lost in the weeds or to understand a problem better.,"""Don't let yourself struggle for 45 minutes if you're not making progress toward a solution. Typically,
45 minutes is what you have to do the whole problem in an interview setting. You want to be on your way to a solution in 20 minutes or less. If you're still struggling after 20 minutes, then look at the solutions.""",
CopingMech_Procedure,A list of steps someone takes that helps them stay focused/be more productive when completing a task. This includes todo lists.,"""My psychiatrist today suggested coming up with a  system for reviews so at least I have a checklist to go down when I open a PR up, to hopefully make the task  less daunting.""",
CopingMech_ProfessionalHelp,"When someone gets help from a professional, such as a therapist or job coach.","""Things started turning around when I finally started going to therapy...""",
CopingMech_Reception,When someone describes others' real or potential reactions to a coping mechanism that they or someone else has used.,"""I work mornings. I’m up at 4-4:30am and working by 5. Finish my day around 3. Suits me really well and my company has been happy with it.""",
CopingMech_RecordMeeting,When recording a meeting or listening back to a recording of a meeting,"""I listen back through the recordings at 1.5 speed after the meetings and either work as I listen to them (e.g. if the meeting was about giving me a task & instructions to complete the
task, I listen as I complete the instructions) or take notes from the recording to revisit later. Then I
delete the recordings.""",
CopingMech_RecreationalSubstances,Taking substances that are not prescribed.,"""The (terrible) habit I’ve developed is smoking a cigarette in the morning. I literally can’t function before I do that and I hate myself for it""",
CopingMech_SelfHelpResource,"When someone names a specific or generic self help resource, such as a YouTube channel or book, that they look to for help.","""I also recommend listening to ADHD podcasts like 'Taking Control with ADHD'.""",
CopingMech_SideProjects,"Having another, smaller task that is appropriate for the situation (e.g., because they don't have a lot of time to work on something and don't want to waste it, because they're not fully focused and better prepared for admin work, etc.). These tend to be efficient or productive uses of time that aren't necessarily on the ""critical path"" of work.","""Know that if you didn't have enough sleep, you will not be able to concentrate on fixing bugs. And learn to switch to another task that comes easy to you and doesn't need you to force yourself.""",
CopingMech_SupportGroups,"When mentioning a support group specifically geared toward neurodivergent or disabled programmers (uncommon -- we only saw one instance of this, and none in the workplace).","""I would encourage you to look for a CHADD group sessions in your area. It is free and they will provide you the support you need right now and be a very helpful resource for more help. You can try and look for local CHADD group""",
CopingMech_SwitchJobs,Switching to another job that may have an environment that works for someone better than their current one.,"""My solution with an open office job was to leave and to working remote full time ...""",
CopingMech_TakeControl,When someone becomes a leader in a situation to guide it at a high level.,"""I try to be the one running meetings whenever possible, which forces me to stay engaged. I find I’m pretty good at keeping things on track after years of learning to rein in my own wandering mind.""",
CopingMech_TakeNotes,"Any kind of note-taking (e.g., taking meeting minutes). This also includes journaling / after the fact retrospectives. Any time that you write up something. This code has lower precedence than other, more specific codes (such as procedure or time_other). ","""The best advice I can give you is to try to write down your current thoughts on the topic, and put it down
for the night. You don’t have to solve everything all in one day, and there’s always tomorrow.""",
CopingMech_TaskChunking,Breaking up a task into more easily completable chunks. Should supercede take notes.,"""Bullet Journaling has helped me a lot in this. Even without going full BuJo you can use todo lists and outline a task into its parts. Think of this like completing code with todo objects. Fill in the highest
level of goals and then figure out what needs to be done for that to be considered complete. Agile practice pivots largely on a ""definition of done"" and if you can define what it means for each task to be ""done"" then you have a clearer view of what needs to be completed to achieve that. Think of it like outlining (if that helps).
After you can see what smaller tasks are a part of the bigger task then it is much easier to estimate the time.""",
CopingMech_TaskVisualization,"Drawing out a task, on paper or virtually, to understand how it works better. This includes diagrams, but not mentally envisioning something.","""Scribble diagrams on the notes app to organize my thoughts""",
CopingMech_Time_Deadlines,"Using deadlines, whether ""real"" or self-imposed, to more easily get work done. Includes timers (that are not used for Pomodoro)!","""'I’m going
to fix this fucking thing by 11:30' then try and do it.""",
CopingMech_Time_Other,"Any other coping mechanism involving how employees use or manage their time, including tracking what you were doing at a given time or reminders.","""I use the timetracker app on a nextcloud install. It's got some rough edges but it's simple and I just leave it open in a pinned browser on one of my screens. When I start something, I go to it and enter a title, click play and assign it to a project, when I finish I go back and stop it and add some details about what I did. It's got a reporting feature that exports to CSV, so it's entirely useful.""",
CopingMech_Time_Pomodoro,"Specific mentions of the pomodoro technique, which involves setting time aside to work and injects breaks at regular intervals. Tomato timer is the same thing.","""Have you tried the pomodoro technique? It works pretty well for me.
25 min work, the timer rings, 5 minutes mandatory break, the timer rings, ect.""",
CopingMech_Time_Reminders,Setting (usually timed) reminders to do certain tasks.,"""...the repeated daily alarms are a godsend. It's honestly my biggest ADHD hack ever, and I wish more people would try it!""",
CopingMech_Time_Schedule,"Work hours someone keeps that help them stay productive, including time blocking.","""I work mornings. I’m up at 4-4:30am and working by 5. Finish my day around 3. Suits me really well and my company has been happy with it.""",
CopingMech_Time_Tracking,"When someone uses a strategy centered around time tracking, whether for their own purposes or for loggable hours.","""By recording and charting it, I could see a tangible measure of the work I put in. I felt good about that, so I kept doing it for myself...and then one day I had
to defend my time, and this log told me everything I needed to know. It also became super handy when I started invoicing. It's become an integrated part of my process, now, and it's saved me several times.""",
CopingMech_Unhelpful,"The opinion of a coping mechanism is that it is not useful, or only has negative effects.","""Anything that I have to set manually (like a Pomodoro timer) just fails for me""",
CopingMech_Wellness_Diet,"Any kind of diet that could improve wellness for someone (e.g., drinking more water, cutting out certain food groups, etc.). Includes anything you put into your mouth that's not prescribed medications.","""Eat and drink to keep hydrated and keep your brain fed especially in the afternoon. Skip the junk snacks and go for fresh fruit.""",
CopingMech_Wellness_Exercise,Exercising to improve wellness/efficacy. ,"""Working out is a great stress reliever and will help with sleep. You’ll be too exhausted to think about work.""",
CopingMech_Wellness_Meditation,Meditating to improve wellness/efficacy. ,"""Or count a few breaths like a micro meditation session.
It gives me just enough time to be more rational and deliberate about what I do next. Is this actually taking too long, or am I just getting impatient?""",
CopingMech_Wellness_Other,Any other strategy centered around wellness in some capacity.,"""cold water bath""",
CopingMech_Wellness_Sleep,"Any sleep schedule that could improve wellness or efficacy for someone (e.g., sleeping at ""the right time,"" sleeping ""enough,"" etc.).","""...getting good sleep at night are what's winning the marathon.""",
CopingMech_Wellness_SocialInteraction,Socializing with others for wellness reasons.,"""Furthermore it may help to get with a group with people.""",
CopingMech_WorkLifeBalance_Hobbies,Engaging in hobbies (not related to work or improving hireability).,"""You must find activities to relax, something that puts your head away from work. It could be reading a nice book, playing games, having a date, going out with friends. Maybe you'll have thoughts and your work, but just let it go""",
CopingMech_WorkLifeBalance_Other,Any other approach that aims to help with work-life balance (usually not overworking oneself). This can include mindsets or attitudes.,"""Slowly over the years, mainly through realising life is too short to be taking work home with me and worrying about it I’ve adopted the healthy attitude of leaving work at work.""",
CopingMech_WorkLifeBalance_TakeBreaks,"Taking breaks away from work, not in the context of the pomodoro method. ","""...get up and take ALL the
breaks you’re supposed to and take a break when spinning your wheels...""",
Disclosure,Explicitly telling someone else that you have ADHD or another condition. Includes telling someone for the purposes of receiving accommodations. Includes hypothetical negative/neutral/positive outcomes as well as actual ones.,,
Disclosure_ActualNegativeOutcome,A real example of something negative happening after someone discloses.,"""I self identified and was treated differently from the minute I said something after several years of being a top performer. Then came a bad review that was never communicated to me.""",
Disclosure_ActualMixedOutcome,An example of an outcome where the result has some negative and some positive parts.,"""She said she didn't know much about ADHD, but thanked me for telling her and that it helped her understand a lot about my lack of performance
lately and how long it's been taking me to finish my tickets.""",
Disclosure_ActualNeutralOutcome,An example of an outcome where the result is not negative or positive.,"""So far I have not had any negative reactions to my ADHD. But
I’m a pretty transparent person who is pushing for a more open society where everyone is welcome.""",
Disclosure_ActualPositiveOutcome,A real example of something positive happening after someone discloses.,"""I've received full support from my managers in my accommodation requests and disability needs, with no pushback or potential for discrimination.""",
Disclosure_AdviceNotToDisclose,"A quote that recommends someone, or one generally, not to disclose.","""Pro tip, it’s not a good idea to mention ADHD to co-workers/managers, most people don’t have a good understand of how it affects people differently . Assume whatever you tell privately your coworkers, might be casually shared/mentioned with others.""",
Disclosure_AdviceToDisclose,"A quote that recommends someone, or one generally, to disclose.","""IMO probably better to mention it now, inatead of when it becomes a problem accomodations are way wasier to make in the beginning than onces you are wsrablished and having issues.""",
Disclosure_AdviceMixed,"A quote that recommends someone, or one generally, to disclose or not based on situations (real or hypothetical).","""Once you've hit a home run, and your employers pave your road with gold, feel free to brag a bit about how it was 10 times harder because ADHD, but even then, you don't have to do anything you don't want to.""",
Disclosure_HypotheticalNegativeOutcome,A hypothetical supposition that something negative would happen if someone were to disclose.,"""Most likely you will just stigmatize yourself and they will assume that you might be unreliable or lazy.
There’s a chance you could be interviewed by a super understanding person, maybe even someone with ADHD. But IMO those people are few and far between.""",
Disclosure_HypotheticalPositiveOutcome,A hypothetical supposition that something positive would happen if someone were to disclose.,"""My company is very open-minded and makes a great effort to talk about mental health stuff, and I was pretty sure my manager wouldn't be the type of person to discriminate against me so I finally told her about my diagnosis during
our last 1-1 meeting. That was pretty hard, I broke down and cried lol.""",
Disclosure_YesActually,The person is talking about a time they have actually disclosed their status.,"""I told everyone in my interviews and I’m
starting my next job next week where they already aware of my ADHD""",
Disclosure_NoActually,The person is talking about not having disclosed in some situation.,"""I have never mentioned it to any employer.""",
MentalHealth,"The flip side of work impacts: how work impacts you. Includes symptoms of different mental health diagnoses, good or bad feelings, etc. This includes complications with sleep, feeling motivated or not motivated, and low or high energy. NOT productivity as that is typically in the WorkImpacts category.",,
MentalHealth_Negative,"Any negative indication of mental health (depression, anxiety, fear, stress, demotivation, burnout, etc.).","""Shifting or unclear deadlines. Honestly, deadlines in general stress me right out.""",
MentalHealth_Positive,"A positive indication of mental health! :D Feeling motivated, energized, fulfilled in life, remarking on improved mental health, happiness, etc.","""Also, I completely agree with the flexibility aspect. It takes a lot of stress out of your workday""",
MentalHealth_Sleep,Someone talking about not getting good sleep/not being able to sleep on a schedule.,"""..stay up until 2am trying to finish it then say screw it and go to bed. Rinse and repeat.""",
MentalHealth_Other,Anything we'd label under MentalHealth that seems to be mixed or just doesn't fit anywhere else.,"""I found over head lighting really over stimulates me""",
MentalHealth_ImposterSyndrome,"Someone remarking that they feel like they don't belong in the position they're in, that everyone else is more capable of them, that they doubt their talents or achievements, or they name-drop imposter syndrome directly. https://en.wikipedia.org/wiki/Impostor_syndrome","""Don't worry about under qualified. Impostor Syndrome is real, even the best programmers suffer from it.""",
OP,"Should be added to any quotation written by the original poster (OP) of a post. Cannot be used alone in a quotation, or alone with SoftwareWorkActivity.",,
PersonalInfo,"Demographic information, including where they live. Includes diagnosis of ADHD or other mental health diagnoses as well as physical health diagnoses. Does not need to be used when it is alone in a comment (unless that comment is made by the OP). Also includes if they are prescribed medication for their ADHD.",,
PersonalInfo_Demographics,"Demographic information such as age, gender, and race.","""I'm 33""",
PersonalInfo_Education,"Mention of some part of their higher education (mentions of going to/currently being in college, bootcamp, high school, etc.). ","""I did really well in university. I had a really strong novelty preference and learning stuff gave me a huge rush.""",
PersonalInfo_HasADHD_No,The person states/implies they do not have ADHD.,,
PersonalInfo_HasADHD_Unsure,The person states/implies they are not sure if they have ADHD. (Or we are not sure that they have ADHD from the text),"""This has been my day-to-day life for the last twenty years or so - never even began to consider ADHD until my son started down the diagnosis path.""",
PersonalInfo_HasADHD_Yes,"The person states/implies that they have ADHD, but do not also talk about their diagnosis (if it exists).","""I'm writing this on all those similar threads here, but have you tried pair programming? It works wonders for me and the other adhd person on my team.""",
PersonalInfo_HasADHD_Yes_Diagnosed,The person was diagnosed by a medical professional with ADHD.,"""I was recently diagnosed with ADHD (would have helped if I was also medicated in school)""",
PersonalInfo_HasADHD_Yes_InDiagnosisProcess,The person is currently being diagnosed for ADHD by a medical professional.,"""I've suspected ADHD for a while now, but was only recently evaluated by a psychologist, who recommended trying medication.""",
PersonalInfo_Location,"Any mention to where the person lives. This is not necessarily where they work, in the case of some remote jobs.","""we‘re located in Germany""",
PersonalInfo_Other,Any other personal information.,"""I’m a later in life career changer too""",
PersonalInfo_OtherDiagnoses,"The person is diagnosed with/has some other condition (e.g., dyslexia, narcolepsy, chronic pain). ","""I'm a 26yo female programmer with Dyspraxia, ADHD, and Ehlers Danlos Syndrome.""",
PersonalInfo_SubstanceUse_NonUser,The person specifically says they do not use some or all substances for some reason.,"""I’m not medicated for my adhd and Dyspraxia""",
PersonalInfo_SubstanceUse_Prescribed,"A mention that person uses substances they were prescribed (e.g., prescription stimulants, SSRIs, etc.), but this usage is not tied to work or coping with work in any way.","""I am taking Concerta at 54mg for ADHD as of a few months ago.""",
PersonalInfo_SubstanceUse_Recreational,"The person uses recreational substances, though not necessarily to cope with anything.","""I've found that many people with undiagnosed ADHD (myself maybe a year ago included) self- mesicate with Nicotine because it has a similar effect to Ritalin and the like. I used to smoke on my lunch break to ""clear up my mind"".",
PersonalInfo_SubstanceUse_SideEffects,Some substance the person uses has negative side effects of some kind.,"""I stopped the Vyvanse because I realized I was
experiencing some side-effects. None of the horribly bad ones, but side effects none the less. My blood pressure had increased, but was managing with other meds.""",
SoftwareWorkActivity,"Cannot be used alone in a quotation, or alone with OP. Includes subsequent quotes that refer to previous software activities mentioned. Also includes the actual content of interviews. If someone is “interviewing,” that should be tagged as WorkInfo because they are looking for a job. Should directly describe or mention the SoftwareWorkActivity, not just a coping mechanism about doing a SoftwareWorkActivity (so like, do not tag SWA this quote: “I gauge the email threads. If there's too much to discuss over email, I request a meeting to have it all laid out.”)",,"Brainstorming
Prototyping
Software Coding
Software Testing
Refactoring
Software Architecture Design
System Integration
Reading Documentation
Writing Documentation
Debugging
Program/Algorithm Design
Data Analysis
Requirements Elicitation 
Quality Assurance (Also known asQ&A or QA testing)
Integration Testing
Program Running / Compiling
Agile / Scrum Meetings
Software Product Team Meetings
Pair Programming
Code Review
Defect/Issue Reporting/Tracking
Product Release / Release Deadline Push
Version Control (GitHub) → push, pull request, branch, merge, fork"
SoftwareWorkActivity_CodeReview,"Looking over and reading code and verifying it for correctness, readability, etc.","""Doing deep work in the afternoons when I feel more booted-up (not a hard and fast rule though, if I
need to get into deep work mode all day, I do it, or if I have additional code review in the afternoon, I do
it)""",
SoftwareWorkActivity_Coding,Actually writing and generating new code in a programming language. ,"""It's too easy to add unneeded complexity because you think you're thinking 10 steps ahead, but by the time you get there you realise you made a bunch of assumptions that just don't hold up. Write the smallest simplest thing that works right now, and delay adding anything until you need it.""",
SoftwareWorkActivity_Debugging,Fixing a problem in a program that has unintended output. ,"""Know that if you didn't have enough sleep, you will not be able to concentrate on fixing bugs. And learn to switch to another task that comes easy to you and doesn't need you to force yourself.""",
SoftwareWorkActivity_Design,Designing how a program will work or look to a user.,"""The main reason I found that remote worked for me is that I can
take the initial steps I need to summarize requirements in a way I can understand""",
SoftwareWorkActivity_Documentation,"Reading or writing documentation about how a program works, how to use it, things that still must be fixed in it, etc.","""Shit documentation makes me actively depressed""",
SoftwareWorkActivity_Interview,"Any part of the interview process for a software job - it includes the technical aspect of the interview (e.g., coding test, etc.)","""I've been getting interviews for jobs but I cant seem to pass timed online assessments. I just never have enough time.""",
SoftwareWorkActivity_Meetings,Meeting with coworkers to discuss work. Includes stand-up unless agile/scrum is explicitly mentioned.,"""I suggested shorter meetings, or having them split up.""",
SoftwareWorkActivity_PairProgramming,"Doing any software work activity with another person at the same workstation, virtually or physically.","""Pair programming works great for me, especially if I'm the one sharing my screen because it forces me to be in the moment and think/code quicky so that I keep the other person engaged and don't waste their time.
But of course it's not always an option since other people have their own tasks to do; I can't just constantly ask other developers to be a rubber duck for me.""",
SoftwareWorkActivity_Refactoring,Restructuring code while retaining its original functionality.,"""To make things worse: often I don‘t even have a good idea about how to refactor something. I mean, yes, I know that I could extract this and that, but then again I get lost in these details and miss
that this has an impact in other places.""",
SoftwareWorkActivity_RequirementsElicitation,Speaking with a client or the recipient of a software product to understand what they want the product to be able to do functionally and what it should look like.,"""In the past I did get some feedback from my manager about going too far  into technical details when talking to non-technical stakeholders...""",
SoftwareWorkActivity_ScrumOrAgile,"Using Scrum or Agile processes in software development. Often called out by name, but also associated with words like ""sprints,"" ""stand-ups,"" etc. It is a framework of software development meant to incrementally, iteratively, and quickly make deadlines for working parts of a project.","""Agile/Jira (by managers who know how to  wield it, not bandwagoners) is actually great for ADHD, it gives you short turnarounds with discrete tasks.""",
SoftwareWorkActivity_Testing,"Testing software to see if it has bugs in it (i.e., running a program to see if it behaves as expected).","""This is my strategy for not letting a 60 sec test suite take 20 minutes of productivity away.""",
SoftwareWorkActivity_VersionControl,"When mentioning GitHub, pushing or pulling code, centralized repositiries etc. If the mention code review, don't do this tag - this is more of a catch all","""Github Actions is still slow.""",
WorkEnvironment,"Any information that describes a job's environment. This can be describing a job that someone had in the past, in contrast to WorkInfo, which is only used for a job that someone currently has. ",,
WorkEnvironment_OfficeType,"When talking about the configuration of an office at someone's work (open office, single cubicles, etc.). ","""Currently, I sit in a cubicle. Environmental noises
distract me.""",
WorkEnvironment_WFH_HybridOrRemote,The job has some work remote.,"""I work from home though, so I've got it pretty easy admittedly.""",
WorkEnvironment_WFH_InPerson,The job is fully in-person.,"""Personally I can't imagine going
back to working in an office, I was so fucking unproductive there, and a lot of it isn't even in your
control there... people are interrupting you all the time.""",
WorkChallenges,"A challenge related to the software developer’s work based on an individual non-standard interaction with the work or non-standard communication with other people. Something that differentiates work challenges from mental health influenced by work activities is a work impact is non-emotional in some way (e.g., communication, more bugs, more distracted because of IDE, etc.). Feedback from other employees or one’s boss does not count as a work challenge, unless they are considering putting them on a PIP or there's more serious backlash. Getting fired because of something related to your performance/not about layoffs goes here. Includes challenges as a result of inefficient coping mechanisms. Expressing discontent/hating activities/[x things sucks] is not necessarily a work challenge.",,
